Application_ID,Age,Education_Level,Years_of_Experience,Skills,Previous_Job_Experience,Expected_Salary,Job_Level,Location,Application_Status
1f02a3ef-dee3-4e67-b899-b99d29c00193,39,Bachelor's Degree,,C++,Yes,97060.67828789858,Lead,Rural,Not Suitable
b87ae824-7f50-44c2-873e-0f68cd735a1e,35,,15.0,Python,Yes,,Lead,Suburban,Suitable
685e5363-7adf-4291-b021-c68028a94613,24,Associate Degree,,Excel,No,146795.67257741428,Lead,Suburban,Suitable
8db68d93-c0f8-4a04-b9a2-ec76a4cbe8a6,51,High School,5.0,JavaScript,Yes,51842.48508275019,Mid,Suburban,Suitable
9f0e19dd-0e2d-4194-a16e-9265580ba44a,35,High School,0.0,Python,No,105189.37963251147,Lead,Urban,Suitable
38543004-e992-45c8-8f65-da200be02037,36,,,Communication,Yes,128952.42580773693,Mid,Rural,Suitable
ec18c61d-53f8-4e08-bed5-4cdde6fa8c35,55,Master's Degree,16.0,Java,No,43261.15458591464,Junior,Suburban,Not Suitable
27f70b7f-5f61-4cdc-8ad6-301396c874bd,34,,8.0,C++,No,101019.75664119114,Lead,Suburban,Suitable
2405afe2-ff84-41c8-afa1-7b3a18c13caa,36,,16.0,Excel,No,,Mid,Rural,Suitable
514664f6-187b-4f5d-9972-5fdf6e17074a,32,Bachelor's Degree,8.0,Excel,No,127059.60041798142,Lead,Suburban,Not Suitable
335a978b-1acb-4fbd-b0d2-f71ff485a625,50,Associate Degree,28.0,Communication,Yes,90829.26421738598,Junior,Suburban,Not Suitable
896ac50e-dcb9-4d91-98f7-249c3807b312,18,High School,1.0,Communication,Yes,84359.67675490127,Senior,Suburban,Suitable
f4f9f031-0257-4630-bda0-1025695a91e6,51,Bachelor's Degree,8.0,JavaScript,Yes,113398.81490019089,Senior,Suburban,Suitable
19c74df9-6262-4796-962f-a81addda7147,20,Master's Degree,3.0,C++,No,138665.05950219213,Junior,Suburban,Suitable
be3a7020-dc05-4918-aa18-6adf6333c53f,23,Associate Degree,,Java,No,76488.48011041485,Senior,Urban,Suitable
e49bd8aa-6cf8-4959-baf7-1c5da7461e66,38,Associate Degree,8.0,Python,Yes,82930.38530179244,Lead,Suburban,Not Suitable
7a7574dc-677b-4c41-83dd-eb222ef05c03,22,Bachelor's Degree,21.0,Python,Yes,66604.72693314178,Junior,Urban,Not Suitable
4b8fc9c5-d6d7-43dd-a700-26eed5b10d77,44,Bachelor's Degree,24.0,Java,No,106759.09059725884,Lead,Suburban,Suitable
0eaadb5e-e747-43d6-bb96-946c0182fff7,58,,8.0,Excel,No,41045.419920725326,Senior,Suburban,Not Suitable
80e146ef-6c20-4bdf-a27c-da173de242df,25,High School,25.0,Python,No,67836.13949724114,Mid,Rural,Suitable
0de9b012-4e6d-4f52-8c0a-6aa23ab1efa7,33,High School,1.0,SQL,Yes,63171.63191372604,Lead,Rural,Not Suitable
c437964c-c760-49c5-917f-4a95c837d906,32,High School,15.0,SQL,No,98681.13012261146,Senior,Urban,Not Suitable
1e305e49-fba7-4c76-819a-657effe80e2b,27,Associate Degree,5.0,SQL,Yes,98226.84365233593,Senior,Suburban,Suitable
793710a8-ccff-479f-9cee-12dbbd2d3f50,21,,16.0,Communication,No,78502.53905656835,Senior,Rural,Suitable
e91981d0-1ac7-4688-94b9-69b7bf1a48d9,35,Master's Degree,,JavaScript,No,100176.86254116762,Mid,Rural,Suitable
f40e89f5-a6ab-4dd0-a360-e9fe30dd0d5c,31,Associate Degree,2.0,Python,No,48393.947617649515,Lead,Urban,Suitable
ba3d3ce6-a643-4d9f-b9bf-6787418265a1,57,,16.0,JavaScript,No,48227.54384433929,Junior,Rural,Not Suitable
dde6f3f3-447b-426d-8f5d-f1746a113a9f,24,Associate Degree,8.0,Python,No,97347.51000137063,Junior,Urban,Suitable
645fef6f-0405-4bb6-82eb-b2a0d7fb8585,22,Bachelor's Degree,2.0,C++,No,113721.72438617247,Mid,Rural,Not Suitable
ce25c442-3567-4b90-88ec-3194c379c78a,22,,,JavaScript,Yes,100969.45300325874,Senior,Urban,Suitable
a61af1c1-f821-4a61-abb9-a46d4d418434,24,Associate Degree,7.0,C++,No,60574.28335925206,Lead,Suburban,Not Suitable
8cc5c368-001d-41b1-bd79-2a16074acfef,26,Master's Degree,5.0,JavaScript,No,41892.595814154876,Senior,Urban,Not Suitable
6b5a8613-f842-4f15-85be-e5608fd4ff9a,37,,19.0,SQL,No,141172.6350568866,Senior,Urban,Suitable
b224ab64-e224-4748-99e5-a857ef913dbb,39,,11.0,SQL,No,83045.36822047703,Mid,Suburban,Not Suitable
792976bb-c5f1-4729-aeff-d921bd550f94,44,Associate Degree,24.0,SQL,Yes,,Junior,Rural,Suitable
0be6b6e1-93ac-4d66-8a27-416248208bc6,20,Bachelor's Degree,,Java,Yes,118016.92818933437,Lead,Urban,Suitable
c1a3f7d4-bf21-4e7b-88ef-4c2f32ca9fc3,58,Associate Degree,,Excel,Yes,32551.348887321812,Lead,Rural,Not Suitable
3640fc91-386b-4fad-b52b-0cb6d0fc7475,45,,25.0,C++,Yes,116013.34548735806,Mid,Urban,Not Suitable
b9f5e3d0-0e74-4d09-8176-d45186a3b2ba,49,,1.0,Communication,No,41168.34577832811,Mid,Suburban,Not Suitable
85445cb8-4d9e-4b3e-9324-5fc8e85e7111,53,Bachelor's Degree,28.0,C++,Yes,,Mid,Urban,Suitable
3cede4b2-4394-40cc-aa6e-b2136a12692c,22,High School,8.0,SQL,Yes,137894.18740250575,Junior,Rural,Not Suitable
1805ca73-9081-45c2-805c-e11636c4e1d6,29,Associate Degree,,Java,No,,Junior,Urban,Not Suitable
b162928c-26d4-40d1-9efe-5518d2eb6e26,47,Master's Degree,,Communication,Yes,35156.49027703162,Lead,Suburban,Suitable
bded3052-8b6f-412f-99fa-1866d097a336,19,Bachelor's Degree,4.0,Excel,Yes,80490.4612037634,Mid,Rural,Suitable
83f39207-fc8f-4eaf-af0f-96e8381ee018,24,High School,,JavaScript,Yes,,Senior,Urban,Not Suitable
21ca01de-3090-484c-8f81-8b6e31ca07ac,48,,27.0,JavaScript,No,78117.43523009248,Lead,Urban,Not Suitable
22cc447d-9e02-4f42-921d-f4a42cddc6e6,22,,14.0,SQL,Yes,86872.85251127486,Senior,Suburban,Not Suitable
36b6b549-8d1e-4685-a81c-23506111c3af,42,Master's Degree,13.0,C++,No,40496.92301942817,Lead,Suburban,Not Suitable
ce0d4348-9744-4a4d-9092-b9227606fb72,34,High School,6.0,Python,Yes,101342.36642090078,Lead,Rural,Not Suitable
ea7ffa9e-6649-43c4-8ec4-75a0d451eda2,47,Master's Degree,7.0,Communication,Yes,36359.193469241414,Junior,Suburban,Suitable
0e19f2fc-9ceb-426d-a3e2-6aaddceb5650,47,Bachelor's Degree,,SQL,Yes,118970.0709887711,Junior,Urban,Not Suitable
2f422a28-466d-4141-832f-5c6e80d78557,44,Master's Degree,,Java,No,,Lead,Suburban,Suitable
90aa4922-a1d3-484e-a638-541b6010097f,44,Master's Degree,21.0,Java,No,70808.87167054496,Lead,Suburban,Not Suitable
488c1b55-77e8-4d03-9151-88043375465a,46,Bachelor's Degree,21.0,JavaScript,Yes,38985.267041709885,Senior,Urban,Suitable
575b1f77-bc59-4a5e-9e44-17c7551089d0,39,High School,,JavaScript,Yes,126960.24818809968,Lead,Urban,Suitable
4491cf43-bf3e-4842-b490-17748f2f72d7,49,Bachelor's Degree,12.0,SQL,No,115165.92146935107,Mid,Suburban,Not Suitable
89534cbd-7784-4726-a101-d7814d136b11,59,Bachelor's Degree,13.0,JavaScript,Yes,,Mid,Urban,Not Suitable
f785d7aa-b788-4c9a-9331-53e34249db6c,29,Bachelor's Degree,,Communication,Yes,65631.64179104546,Senior,Urban,Not Suitable
fdfa5bad-6f62-4a4f-9595-bfee33c4eea3,50,,4.0,Python,No,79588.18553887159,Lead,Suburban,Not Suitable
908b06c8-80b9-415c-a4a4-8bdbeb2151d6,22,High School,13.0,SQL,Yes,146052.4681235507,Senior,Suburban,Not Suitable
2068d068-7d0c-4d13-bd80-0cf0a8e86419,36,Master's Degree,4.0,JavaScript,Yes,73760.29532979839,Lead,Suburban,Not Suitable
357d5a3e-2589-465f-92de-cbd7af5067bf,51,,4.0,SQL,No,54997.476891674145,Lead,Urban,Suitable
24d37830-96da-44b7-b1d9-6e0543516577,45,Associate Degree,12.0,JavaScript,Yes,122044.0427291623,Senior,Rural,Suitable
afe2b94a-340b-4e57-8954-b7e3f9cda070,52,Bachelor's Degree,26.0,JavaScript,Yes,,Lead,Suburban,Not Suitable
91f1b539-e804-4344-822d-167420bf8371,31,Master's Degree,18.0,SQL,Yes,48780.73953918535,Junior,Suburban,Suitable
916d0f49-71bd-4ea6-9349-696468c56f37,23,High School,25.0,C++,Yes,128215.73544619695,Senior,Suburban,Suitable
4f8ea009-4571-45f7-be63-50dfe495ae3b,35,Associate Degree,9.0,Excel,Yes,100773.58006444371,Mid,Urban,Not Suitable
c352de84-70de-436f-97ed-3cee0c79a74c,38,,24.0,C++,Yes,65997.04911324463,Mid,Suburban,Suitable
3c9a8f09-fb08-4563-9fec-c60e14327bfd,58,Master's Degree,3.0,Communication,Yes,,Lead,Suburban,Not Suitable
ece64c63-b9b7-4809-8da8-b4cedce6c00c,22,,11.0,SQL,Yes,126492.96409068245,Senior,Urban,Not Suitable
760aa817-c8dd-4de0-95d5-67f66305ae45,50,Bachelor's Degree,15.0,C++,No,69022.36704767929,Junior,Rural,Suitable
14225a58-dfd6-4f01-8e1c-867b03819d47,23,High School,,Excel,No,112802.6716336435,Mid,Rural,Not Suitable
6765c35c-6b33-4993-a9b8-c09e1ab808d3,40,Bachelor's Degree,3.0,Communication,Yes,31825.206167119635,Lead,Urban,Not Suitable
b20ee905-6681-477c-b1d2-7d6a0f7e180c,18,Associate Degree,,SQL,No,,Senior,Urban,Not Suitable
8bc85236-4884-4a5b-8bb6-aa1d2bdddf7d,47,Bachelor's Degree,,JavaScript,Yes,60456.616269022954,Mid,Rural,Not Suitable
0dc997e0-b4a9-4737-8d6f-2447dd44d06d,37,Bachelor's Degree,26.0,JavaScript,No,134888.86974459744,Junior,Urban,Not Suitable
0eef15a5-ff62-47e7-a63f-a5e06daeed95,24,Associate Degree,4.0,JavaScript,No,144662.82995482482,Senior,Suburban,Suitable
42f1c8dc-8981-47cb-9008-8bcd6df8cce5,30,Master's Degree,21.0,Communication,Yes,,Senior,Suburban,Suitable
17bd8d4c-829c-4b45-b792-4a72763b4710,18,Bachelor's Degree,11.0,SQL,Yes,58035.941443323616,Mid,Suburban,Suitable
536bb17b-13eb-4517-9075-6c07396b1a44,31,,23.0,C++,No,66745.55030355431,Mid,Urban,Suitable
3210493c-6db7-45f5-9a0c-28836c46573d,19,Master's Degree,7.0,JavaScript,Yes,,Mid,Urban,Not Suitable
3e07d00d-8e3f-4d95-8561-4a532a860d10,35,Bachelor's Degree,28.0,JavaScript,Yes,31959.45074117187,Senior,Suburban,Not Suitable
0313148d-a894-4634-8597-d5a1bc1fc52d,48,Bachelor's Degree,2.0,Excel,Yes,,Senior,Suburban,Not Suitable
0291fbbd-1caa-4344-8f5b-e2718ee8b8ff,35,Bachelor's Degree,15.0,SQL,No,131936.80831105605,Junior,Urban,Suitable
309e8835-4c19-4119-a1c5-93ffd997487f,40,Bachelor's Degree,23.0,SQL,Yes,37900.40017259538,Lead,Urban,Not Suitable
2dc44cdb-4ef5-4609-abad-c66d8633d28c,27,Associate Degree,10.0,Java,No,,Junior,Suburban,Not Suitable
267493a7-58be-42df-b984-fd1e8684180f,33,Bachelor's Degree,8.0,JavaScript,Yes,111862.84701130878,Junior,Urban,Suitable
1694bc8c-8bb8-4874-ae41-174d6a2363a5,25,High School,,Java,Yes,39532.99358694182,Lead,Urban,Not Suitable
c4db2f1c-5363-4179-b7c6-d902436c723c,40,Associate Degree,12.0,JavaScript,No,111060.47860987445,Mid,Suburban,Not Suitable
df357392-8cdb-4058-bb80-e6cfcdfc90c0,18,Master's Degree,24.0,Communication,Yes,110804.90994026788,Senior,Urban,Not Suitable
c11cb71a-41ba-45ec-9580-1d40756f37fb,43,,6.0,Python,Yes,96482.32688356402,Junior,Suburban,Not Suitable
9ee9d504-70d4-442b-814a-a674610e3501,20,High School,4.0,Python,No,77203.87067868019,Lead,Suburban,Suitable
0ffd35d6-2fd9-45cc-8216-c584e48ae128,36,,12.0,Python,No,43452.23886034597,Junior,Urban,Suitable
6e9bef47-af2b-4010-b62f-53a4843d184f,37,Master's Degree,17.0,Communication,Yes,52018.15959986996,Junior,Urban,Suitable
45919f95-d54f-464d-8a55-b30cdb9d7c91,53,Associate Degree,3.0,Communication,Yes,127794.79517555979,Lead,Rural,Suitable
a9406572-7a82-4893-98f3-63f4e4949a7d,33,High School,22.0,Communication,No,137569.20684580802,Mid,Rural,Not Suitable
62990b4a-e77b-439a-89f2-61228b536b74,24,High School,21.0,C++,Yes,103301.27438599538,Junior,Rural,Not Suitable
5e62f622-d63c-4a9e-bf29-c6da3a1cb2f0,30,Bachelor's Degree,13.0,C++,No,59275.600580742335,Mid,Urban,Not Suitable
8c348720-c7d8-4399-b849-409b0d6635cc,38,Master's Degree,27.0,SQL,Yes,93744.84185075773,Mid,Urban,Not Suitable
6727233d-2704-4a5d-a280-4104bd81aeff,29,Bachelor's Degree,27.0,Communication,No,54978.198933069434,Mid,Urban,Suitable
b6510508-95fc-408e-ad39-986052679ed5,44,Associate Degree,10.0,JavaScript,No,71164.70372474034,Junior,Rural,Suitable
843a6eed-dc76-4fbb-b5d6-4d4c4a1d99f6,33,High School,22.0,Communication,No,105286.38900301272,Junior,Rural,Suitable
7d5da779-3965-48f9-a409-04ecd21d1250,24,Master's Degree,,Communication,Yes,71788.33294918417,Junior,Urban,Not Suitable
49a962d5-0988-44bf-970d-a2c1247c3052,36,Associate Degree,13.0,JavaScript,No,144894.33501775668,Junior,Urban,Suitable
f7b036d4-87b4-477d-a0d0-86fc0378057e,48,,,Communication,No,,Senior,Urban,Not Suitable
b4a21522-0328-494c-bf3e-1a4c5a49879f,54,Associate Degree,22.0,C++,No,51021.980176924364,Junior,Urban,Not Suitable
f9013dc3-7a48-49cc-a12c-997967597ca1,32,,19.0,SQL,No,82702.32070081535,Senior,Urban,Not Suitable
de82dc7a-3ea3-425c-9e3b-3bbfce50583e,38,Associate Degree,12.0,SQL,Yes,107697.58350698822,Mid,Suburban,Suitable
cf73388e-49d7-4cc4-8e72-0c39831f05d2,51,High School,9.0,Communication,No,122861.65891558504,Junior,Urban,Suitable
845a0b01-b9b5-4242-8cd3-f6c28ebbb5b5,58,Associate Degree,,Python,No,96222.49876804126,Junior,Suburban,Suitable
cb45be92-361c-4b89-8e03-c4a45853db15,36,Associate Degree,14.0,Java,Yes,62354.64784277008,Junior,Rural,Suitable
a10318c2-f184-4dd1-8341-e2f333cc2b67,49,Bachelor's Degree,22.0,Java,No,146328.4591244646,Junior,Suburban,Suitable
51f39573-d205-4533-b296-6aa4e0067a6e,28,High School,23.0,SQL,No,111454.29011566924,Mid,Urban,Suitable
98180f03-6d1a-4ce6-8ff3-2c3d7d1526ef,19,Master's Degree,14.0,Python,No,54943.52828921828,Mid,Suburban,Suitable
8b5bae1e-a5cc-417e-b8f2-feedaac11094,50,Associate Degree,1.0,Java,No,116348.87022820029,Junior,Rural,Not Suitable
c8f51d24-980b-4610-be85-2a957892711a,37,Associate Degree,5.0,Python,No,111898.52090889419,Lead,Rural,Suitable
73217247-4462-4051-9c94-54c4e5844c9a,59,Bachelor's Degree,5.0,JavaScript,No,43327.32179507627,Junior,Urban,Not Suitable
d39f923b-fca6-4b9f-8f2c-9cdab50502b1,57,Associate Degree,1.0,SQL,No,75041.7594141757,Junior,Rural,Suitable
611103c7-5676-4418-9e50-82366be730c0,46,High School,,C++,No,,Lead,Rural,Not Suitable
bfd7c082-5cc3-4cd5-9d2e-e9c71e1e2706,43,Associate Degree,4.0,Communication,Yes,,Junior,Rural,Not Suitable
d27cabfc-5374-4775-9fd8-66c6fcac06ea,27,Bachelor's Degree,0.0,SQL,No,139186.34608532616,Junior,Rural,Suitable
e44e5c98-628f-4ec6-8686-62d17f631924,19,Associate Degree,,Excel,Yes,86190.16076994684,Mid,Urban,Suitable
2e75294e-11fe-4745-b602-81ede6a242c7,43,Bachelor's Degree,27.0,Java,No,82573.21498912922,Lead,Rural,Suitable
65f105a6-4315-4738-a9ca-af141288e940,38,Master's Degree,26.0,Excel,Yes,66901.83652511545,Mid,Rural,Not Suitable
0807944e-4127-4a72-a9a9-50b3e2066ab4,55,High School,6.0,JavaScript,No,90947.33282142645,Mid,Suburban,Not Suitable
c810ec25-c1ea-4895-8b9e-e79b7dab9575,22,Master's Degree,2.0,Communication,No,45149.70884644303,Senior,Urban,Not Suitable
5bf31db8-ae73-4986-9df2-63eb2ac8a131,35,Bachelor's Degree,21.0,Java,Yes,102764.33705426859,Senior,Suburban,Suitable
d98ae9cf-8ca1-4205-91c2-7043bc3f6ee3,48,Associate Degree,,Java,No,129491.9220804958,Junior,Urban,Not Suitable
2d849e38-3a85-4e1e-8e54-0d0f178cb9d1,43,Master's Degree,14.0,C++,No,114983.38289528094,Mid,Rural,Suitable
07ae234f-5331-4823-a8a3-8dd9ae012ba2,48,Master's Degree,16.0,Java,No,77073.18043197866,Mid,Suburban,Not Suitable
a6e5c2a5-8966-4f02-9691-820967d67cda,29,High School,7.0,JavaScript,No,94865.38951472266,Junior,Urban,Suitable
33d5bc3b-699b-4e3c-938b-ed246253adfb,44,High School,24.0,SQL,No,120986.50245678592,Mid,Suburban,Suitable
3ae3c801-a07f-4bd5-b221-6b86274c88fc,18,Bachelor's Degree,29.0,SQL,Yes,51640.47592887035,Senior,Urban,Not Suitable
618c36f6-9fca-470f-9e7d-fe84ba8f6153,20,Bachelor's Degree,23.0,Excel,Yes,57032.662333323984,Senior,Suburban,Suitable
0deb0420-bb37-4186-befe-809f4d5dc1a1,28,High School,,JavaScript,No,147503.55877765059,Lead,Urban,Not Suitable
a53445c1-dfcf-40dd-89ae-1db2a5ef1254,46,Bachelor's Degree,14.0,C++,No,32732.14980924977,Senior,Urban,Suitable
58d2c4e2-6a5b-4e06-94c0-49f67779a2d2,21,High School,15.0,Java,No,34176.28860156175,Junior,Rural,Not Suitable
5ec86b35-255a-470f-9459-f6c81af2e3be,57,High School,25.0,Excel,Yes,111530.82876007765,Senior,Rural,Suitable
dbca4f73-da1b-47b6-a6e9-316fa3972f22,21,Master's Degree,29.0,JavaScript,Yes,84368.92297199408,Junior,Urban,Not Suitable
